OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus
Otu002728,64,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002734,10,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002738,11,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002740,13,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002742,20,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002744,11,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002747,12,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002751,11,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002753,25,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,unclassified
Otu002754,13,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu002756,12,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu002763,11,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu002764,15,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,unclassified,unclassified
Otu002768,22,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu002769,56,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu002771,15,Bacteria,Firmicutes,Bacilli,unclassified,unclassified,unclassified
Otu002772,6,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,unclassified
Otu002775,12,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,unclassified
Otu002778,10,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio
Otu002781,21,Bacteria,OP11,OP11_class_incertae_sedis,OP11_order_incertae_sedis,OP11_family_incertae_sedis,OP11_genus_incertae_sedis
Otu002782,10,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu002783,14,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
